taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13414,14399,13837,15055,13369,16230,9941,53484,52514,11545,58699,46072
13406,14369,13848,15083,13401,16232,9957,53542,52532,11567,58716,46110
13405,14377,13856,15068,13368,16206,9912,53490,52488,11565,58659,46067
13403,14416,13863,15084,13392,16226,9963,53538,52581,11580,58713,46163
13408,14397,13821,15043,13413,16249,9962,53491,52558,11577,58720,46135
13413,14390,13851,15089,13384,16232,9962,53547,52570,11564,58729,46152
13409,14402,13837,15093,13392,16231,9931,53530,52518,11570,58697,46144
13410,14423,13834,15107,13385,16223,9939,53551,52542,11554,58717,46099
13412,14382,13838,15077,13404,16231,9933,53494,52525,11560,58731,46127
13404,14411,13869,15069,13399,16232,9950,53531,52575,11586,58690,46183
13422,14423,13833,15090,13400,16262,9927,53556,52581,11581,58758,46172
13423,14420,13841,15065,13390,16259,9943,53535,52610,11576,58737,46148
13410,14398,13842,15072,13400,16234,9937,53503,52534,11564,58682,46146
13407,14414,13863,15079,13394,16244,9923,53550,52574,11587,58752,46141
13398,14389,13832,15036,13381,16196,9934,53438,52522,11580,58625,46126
13415,14390,13862,15128,13379,16228,9961,53575,52555,11589,58711,46239
13430,14397,13860,15027,13398,16219,9957,53494,52588,11590,58690,46154
13411,14411,13868,15059,13405,16206,9957,53508,52589,11578,58701,46213
13390,14401,13865,15096,13411,16215,9930,53554,52514,11562,58700,46122
13404,14399,13862,15064,13420,16235,9942,53598,52506,11574,58765,46151
13424,14400,13864,15041,13407,16273,9957,53545,52585,11580,58784,46191
13432,14416,13849,15088,13431,16270,9978,53596,52650,11588,58811,46254
13427,14414,13869,15085,13417,16300,9987,53622,52617,11591,58802,46264
13425,14425,13876,15110,13419,16272,9970,53640,52602,11591,58821,46280
13432,14405,13875,15105,13412,16232,9981,53620,52591,11581,58741,46262
13426,14395,13857,15137,13413,16230,9984,53645,52561,11598,58762,46248
13409,14401,13847,15064,13393,16278,9938,53525,52556,11589,58754,46173
13422,14412,13857,15100,13407,16287,9966,53603,52596,11577,58805,46242
13397,14414,13822,15133,13400,16290,9958,53565,52580,11571,58781,46186
13414,14434,13836,15101,13433,16261,9941,53550,52634,11575,58781,46204
13413,14399,13830,15064,13392,16233,9975,53490,52558,11570,58691,46212
13399,14401,13854,15114,13410,16245,9939,53592,52541,11588,58748,46165
13425,14385,13842,15036,13417,16220,9964,53479,52574,11576,58693,46195
13423,14385,13827,15069,13416,16260,9967,53509,52553,11565,58766,46178
13415,14392,13844,15061,13403,16231,9971,53480,52581,11582,58702,46202
13431,14402,13841,15094,13410,16234,9984,53565,52594,11557,58706,46197
13391,14407,13825,15038,13387,16254,9939,53499,52543,11603,58782,46132
13410,14392,13825,15077,13426,16248,9962,53530,52578,11584,58763,46207
13403,14412,13832,15110,13405,16225,9949,53530,52542,11568,58754,46125
13419,14405,13833,15131,13425,16249,9980,53593,52610,11569,58815,46214
13415,14438,13819,15092,13409,16212,9955,53549,52614,11582,58713,46196
13433,14407,13840,15120,13399,16237,9977,53565,52613,11597,58726,46273
13420,14408,13833,15140,13408,16230,9980,53584,52607,11586,58733,46222
13417,14374,13840,15039,13422,16261,9967,53520,52543,11576,58761,46187
13408,14408,13822,15124,13407,16236,9935,53534,52549,11587,58739,46208
13417,14417,13821,15145,13426,16247,9972,53606,52600,11594,58763,46277
13406,14402,13827,15109,13405,16223,9971,53552,52576,11598,58690,46256
13406,14453,13828,15107,13416,16295,9976,53607,52637,11587,58809,46256
13422,14396,13831,15109,13415,16235,9986,53569,52576,11602,58726,46271
13403,14394,13838,15066,13409,16231,9954,53539,52531,11637,58688,46269
13400,14415,13806,15114,13413,16291,9975,53561,52589,11601,58783,46238
13422,14433,13830,15088,13417,16272,9975,53578,52620,11599,58776,46277
13435,14418,13826,15078,13415,16246,9992,53545,52636,11603,58733,46262
13422,14431,13837,15161,13425,16282,9993,53665,52642,11619,58825,46356
13416,14378,13825,15073,13417,16248,9936,53502,52522,11588,58708,46225
13405,14388,13823,15170,13412,16224,9978,53563,52549,11578,58730,46248
13403,14433,13828,15098,13414,16262,9969,53589,52589,11623,58760,46226
13431,14429,13852,15121,13413,16265,9998,53639,52649,11615,58762,46313
13416,14422,13834,15061,13431,16271,9976,53529,52620,11602,58812,46250
13407,14389,13838,15122,13432,16253,10003,53623,52575,11626,58730,46312
13412,14395,13837,15059,13428,16242,9943,53495,52526,11591,58756,46167
13414,14417,13826,15064,13421,16248,9935,53524,52567,11614,58767,46174
13390,14372,13820,15076,13403,16222,9971,53494,52494,11586,58689,46172
