taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13439,14420,13788,15036,13350,16353,9819,53481,52666,11814,58741,46094
13437,14406,13804,15040,13359,16338,9783,53540,52601,11842,58734,46068
13454,14390,13818,15072,13351,16335,9805,53609,52605,11807,58716,46078
13445,14388,13802,15097,13373,16358,9769,53611,52584,11884,58791,46130
13422,14406,13788,15132,13379,16325,9781,53593,52593,11815,58796,46060
13463,14396,13804,15093,13340,16341,9830,53590,52684,11852,58742,46199
13444,14423,13772,15066,13343,16354,9783,53510,52646,11842,58773,46060
13442,14417,13797,15083,13360,16383,9827,53615,52684,11922,58789,46267
13445,14380,13811,15062,13364,16362,9790,53568,52607,11831,58754,46100
13441,14435,13816,15115,13341,16390,9787,53653,52646,11853,58822,46113
13441,14419,13821,15097,13362,16429,9762,53693,52593,11854,58848,46096
13461,14453,13803,15151,13357,16391,9821,53727,52704,11816,58859,46130
13455,14413,13800,15071,13353,16390,9804,53607,52651,11854,58808,46122
13456,14420,13809,15072,13364,16450,9840,53645,52707,11830,58912,46141
13439,14381,13824,15094,13337,16388,9779,53655,52527,11831,58818,46076
13433,14407,13814,15075,13382,16392,9781,53717,52577,11816,58823,46063
13456,14397,13819,15086,13354,16386,9781,53643,52628,11821,58812,46076
13444,14435,13814,15115,13337,16396,9794,53697,52654,11874,58809,46178
13440,14397,13818,15051,13351,16384,9788,53626,52613,11855,58811,46130
13433,14417,13821,15160,13356,16382,9800,53780,52623,11832,58876,46121
13428,14394,13831,15082,13345,16369,9727,53652,52516,11809,58805,45964
13423,14377,13817,15081,13346,16400,9815,53652,52571,11820,58792,46111
13434,14413,13807,15117,13344,16394,9804,53707,52584,11811,58826,46108
13447,14416,13850,15108,13350,16382,9772,53707,52613,11839,58793,46154
13438,14399,13814,15089,13352,16384,9780,53662,52609,11806,58806,46039
13432,14408,13824,15108,13348,16396,9807,53714,52598,11808,58849,46055
13424,14372,13811,15082,13356,16393,9773,53650,52525,11778,58809,45998
13415,14406,13810,15120,13347,16374,9817,53659,52573,11803,58805,46121
13433,14392,13824,15122,13327,16434,9796,53692,52617,11794,58867,46081
13439,14418,13829,15070,13351,16399,9830,53671,52635,11808,58836,46074
13437,14410,13832,15101,13329,16434,9819,53695,52613,11831,58852,46135
13433,14427,13800,15121,13355,16442,9833,53705,52615,11804,58913,46112
13424,14385,13806,15126,13351,16419,9763,53696,52520,11769,58832,46013
13429,14417,13857,15140,13360,16416,9775,53772,52577,11786,58872,46051
13424,14407,13797,15079,13355,16351,9799,53607,52556,11779,58759,46014
13431,14393,13820,15099,13340,16419,9795,53654,52628,11838,58832,46095
13429,14413,13822,15051,13338,16414,9790,53565,52604,11790,58835,46061
13436,14399,13793,15089,13359,16418,9845,53651,52598,11807,58845,46089
13413,14456,13796,15055,13340,16460,9807,53648,52642,11811,58910,46005
13409,14397,13812,15109,13341,16398,9784,53665,52538,11781,58794,46044
13402,14416,13786,15127,13362,16387,9750,53641,52486,11782,58813,45999
13418,14409,13798,15129,13336,16413,9812,53652,52577,11783,58844,46067
13408,14409,13772,15067,13319,16406,9791,53578,52546,11783,58766,46009
13417,14432,13792,15131,13362,16397,9785,53675,52567,11771,58862,46016
13407,14421,13784,15127,13355,16411,9811,53672,52563,11783,58820,46027
13418,14420,13795,15130,13342,16405,9777,53677,52530,11776,58822,46009
13428,14407,13813,15076,13349,16408,9793,53667,52546,11796,58836,46033
13407,14436,13774,15107,13367,16397,9790,53646,52555,11771,58827,46000
13397,14418,13786,15128,13368,16351,9812,53651,52576,11794,58765,46048
13395,14403,13775,15102,13362,16407,9819,53631,52563,11802,58830,46069
13408,14410,13771,15092,13348,16385,9793,53556,52546,11742,58782,45956
13391,14442,13777,15162,13361,16368,9777,53653,52526,11755,58774,45985
13404,14393,13766,15091,13328,16356,9788,53555,52517,11807,58722,46024
13408,14430,13762,15077,13377,16385,9816,53557,52566,11730,58817,46007
13405,14414,13773,15147,13366,16353,9827,53603,52567,11721,58781,46019
13418,14461,13755,15132,13360,16352,9870,53531,52644,11709,58797,46007
13408,14435,13758,15113,13390,16288,9864,53518,52569,11693,58753,45989
13442,14421,13754,15079,13398,16291,9884,53415,52628,11626,58749,45993
13425,14445,13754,15055,13443,16285,9922,53411,52640,11584,58799,45925
13449,14466,13763,15119,13490,16226,10029,53497,52778,11559,58778,46089
13445,14460,13752,15031,13558,16189,10110,53412,52869,11529,58807,46110
13412,14459,13735,15080,13578,16249,10231,53558,52872,11520,58839,46155
13407,14394,13740,15024,13564,16208,10200,53503,52745,11517,58774,46105
13415,14405,13734,15079,13564,16209,10246,53578,52769,11504,58778,46159
13395,14404,13733,15027,13591,16190,10284,53480,52799,11492,58783,46145
13405,14424,13738,15038,13578,16238,10265,53549,52868,11519,58830,46213
13400,14423,13748,15019,13593,16230,10229,53500,52865,11514,58815,46164
13419,14427,13720,15033,13601,16203,10279,53476,52909,11515,58839,46217
13400,14411,13706,15099,13597,16212,10311,53551,52836,11512,58807,46229
13383,14420,13726,15055,13602,16200,10259,53487,52829,11504,58799,46169
13404,14398,13729,15026,13597,16182,10284,53488,52847,11530,58739,46237
13397,14425,13722,15049,13597,16193,10249,53483,52874,11498,58785,46134
13388,14453,13714,15077,13586,16207,10281,53540,52855,11499,58796,46183
13396,14422,13723,15067,13593,16205,10232,53560,52817,11521,58810,46147
13371,14380,13729,15016,13573,16186,10266,53495,52728,11499,58724,46096
13383,14439,13719,15025,13587,16215,10285,53546,52804,11503,58782,46175
13384,14450,13717,15022,13587,16170,10276,53502,52856,11524,58742,46166
13401,14430,13715,15080,13592,16232,10269,53581,52849,11511,58857,46168
13407,14444,13731,15041,13601,16200,10287,53529,52878,11507,58794,46217
13392,14429,13726,15070,13594,16203,10288,53568,52838,11526,58769,46257
13387,14395,13703,15028,13601,16189,10241,53493,52787,11552,58743,46192
13366,14409,13711,15075,13593,16166,10261,53534,52730,11517,58726,46138
13390,14379,13718,15019,13584,16198,10276,53509,52753,11500,58755,46123
13395,14420,13723,15060,13578,16222,10273,53575,52766,11515,58792,46230
13415,14421,13699,15004,13594,16163,10307,53462,52813,11496,58711,46194
13391,14426,13714,15018,13576,16205,10279,53492,52793,11512,58768,46169
13377,14432,13722,14972,13587,16219,10246,53471,52773,11505,58765,46086
13390,14396,13723,15060,13594,16223,10270,53561,52763,11498,58818,46129
13383,14390,13717,15094,13591,16178,10252,53598,52694,11499,58771,46134
13387,14416,13706,15063,13578,16196,10293,53571,52761,11511,58769,46170
13390,14413,13698,14989,13580,16181,10291,53450,52767,11490,58714,46133
13395,14435,13726,15053,13583,16208,10292,53561,52813,11527,58771,46248
13385,14441,13724,15079,13583,16188,10268,53588,52772,11490,58768,46150
13395,14394,13727,15031,13599,16216,10270,53516,52754,11491,58803,46137
13389,14421,13722,15073,13583,16230,10239,53575,52778,11523,58853,46142
13407,14423,13730,15081,13587,16237,10293,53617,52807,11514,58813,46213
13395,14452,13707,15036,13569,16173,10288,53519,52813,11520,58743,46189
13387,14419,13738,15029,13593,16193,10287,53546,52798,11510,58806,46190
13387,14411,13712,15054,13576,16230,10217,53548,52755,11516,58768,46120
13395,14440,13746,15038,13594,16225,10254,53613,52806,11523,58822,46171
13397,14407,13712,15035,13588,16185,10248,53538,52728,11518,58737,46198
13402,14431,13748,15042,13571,16221,10243,53584,52812,11531,58805,46182
13419,14410,13770,15041,13595,16211,10257,53643,52787,11528,58808,46201
13396,14458,13738,15070,13559,16270,10193,53632,52794,11538,58872,46177
13407,14406,13712,15068,13599,16205,10200,53567,52740,11530,58768,46150
13407,14423,13755,15032,13567,16232,10149,53567,52688,11521,58801,46086
13385,14422,13747,15103,13540,16210,10139,53667,52614,11533,58790,46092
13422,14421,13765,15044,13536,16218,10075,53563,52638,11539,58797,46048
13409,14396,13780,15051,13476,16247,10020,53545,52569,11553,58757,46030
13403,14413,13765,15061,13451,16254,9935,53443,52568,11556,58751,45911
13393,14419,13785,15081,13400,16260,9938,53499,52510,11549,58723,45893
13400,14414,13778,15080,13364,16300,9901,53489,52496,11577,58723,45874
13406,14396,13785,15018,13340,16317,9857,53434,52474,11622,58677,45902
13422,14401,13801,15064,13355,16345,9832,53521,52536,11669,58728,45962
13447,14411,13806,15081,13348,16334,9879,53546,52629,11679,58757,46011
13437,14430,13785,15069,13359,16393,9851,53527,52599,11687,58839,45965
13404,14362,13788,15047,13339,16350,9786,53481,52462,11668,58718,45850
13415,14389,13781,15099,13342,16372,9800,53549,52476,11702,58767,45962
13405,14367,13764,15093,13356,16325,9819,53484,52473,11679,58707,45945
13429,14406,13777,15086,13339,16336,9821,53533,52551,11697,58700,45979
13421,14405,13783,15033,13341,16354,9827,53433,52557,11687,58747,45928
13441,14398,13800,15090,13344,16423,9848,53570,52587,11713,58838,46028
13385,14416,13768,15058,13349,16345,9793,53503,52463,11698,58744,45890
13405,14378,13771,15142,13354,16358,9805,53586,52485,11699,58801,45886
13392,14373,13778,15071,13333,16326,9779,53512,52408,11712,58676,45878
13404,14417,13768,15050,13337,16365,9790,53489,52506,11703,58766,45905
13407,14375,13786,15067,13326,16330,9770,53484,52430,11713,58691,45906
13405,14377,13777,15046,13334,16377,9788,53495,52473,11708,58746,45895
13389,14382,13763,15009,13346,16352,9792,53423,52432,11687,58722,45831
13400,14380,13776,15062,13313,16343,9801,53528,52441,11735,58683,45934
13398,14383,13777,15070,13337,16386,9763,53502,52431,11709,58738,45890
13402,14387,13802,15039,13328,16356,9782,53484,52491,11714,58724,45918
13411,14370,13783,15093,13339,16358,9781,53521,52466,11705,58718,45902
13415,14414,13776,15030,13328,16384,9777,53496,52496,11717,58780,45898
13401,14386,13783,15084,13322,16402,9800,53542,52467,11690,58746,45925
13391,14397,13773,15086,13361,16364,9794,53539,52462,11703,58784,45904
13399,14389,13786,15097,13336,16381,9819,53537,52493,11690,58762,45939
13410,14401,13796,15070,13333,16373,9794,53540,52521,11706,58750,45922
13417,14380,13778,15073,13341,16346,9822,53525,52512,11707,58756,45974
13413,14392,13772,15068,13344,16395,9828,53544,52518,11699,58798,45946
13399,14368,13742,15063,13350,16370,9803,53473,52442,11668,58735,45851
13402,14388,13775,15100,13348,16364,9822,53569,52464,11689,58774,45932
13411,14376,13757,15101,13332,16400,9840,53534,52501,11692,58769,45944
13414,14437,13749,15109,13346,16386,9853,53554,52573,11675,58768,45993
13403,14427,13762,15093,13360,16356,9866,53536,52579,11667,58797,45969
13402,14390,13775,15122,13349,16395,9877,53555,52564,11681,58828,46001
13415,14389,13760,15018,13334,16355,9851,53466,52507,11700,58708,45963
13406,14397,13789,15097,13329,16363,9838,53555,52502,11693,58730,45959
13385,14413,13766,15111,13361,16399,9844,53555,52534,11679,58775,45934
13427,14448,13782,15130,13356,16403,9869,53570,52627,11657,58843,46016
13409,14426,13792,15052,13362,16356,9938,53537,52633,11679,58773,46079
13398,14439,13762,15119,13369,16440,9869,53623,52589,11683,58873,46031
13406,14431,13770,15059,13352,16448,9893,53536,52616,11679,58856,45987
13414,14423,13774,15150,13367,16388,9896,53623,52597,11647,58847,46014
13381,14430,13773,15070,13377,16360,9913,53493,52592,11657,58767,45990
13403,14440,13768,15045,13379,16341,9908,53441,52609,11598,58745,45968
13398,14458,13771,15127,13398,16323,9940,53517,52632,11609,58800,46002
13406,14449,13759,15134,13395,16343,9913,53529,52629,11587,58798,45983
13409,14433,13738,15049,13396,16297,9926,53384,52556,11558,58722,45903
13405,14465,13738,15092,13462,16270,9961,53516,52640,11567,58799,45947
13409,14426,13769,15141,13513,16234,9975,53571,52598,11534,58797,45963
13439,14452,13766,15095,13546,16259,9965,53517,52742,11537,58880,45962
13405,14465,13734,15066,13559,16281,9975,53539,52707,11548,58879,45909
13389,14417,13761,15086,13564,16234,10031,53579,52645,11557,58808,45995
13391,14412,13742,15085,13552,16181,10011,53548,52573,11540,58743,45961
13395,14387,13719,15026,13551,16239,10058,53469,52620,11531,58775,45920
13406,14420,13751,15020,13566,16223,10041,53529,52679,11569,58780,46045
13414,14493,13729,15086,13598,16227,10040,53580,52757,11537,58874,46027
13394,14441,13750,15064,13558,16216,10017,53534,52631,11532,58801,45981
13409,14418,13742,15075,13555,16246,9976,53544,52628,11539,58819,45952
13378,14364,13723,15035,13560,16223,9969,53448,52545,11548,58731,45899
13368,14370,13721,15043,13562,16214,9979,53469,52501,11530,58734,45885
