taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13353,14319,13797,14976,13348,16200,9796,53267,52277,11523,58530,45843
13361,14330,13791,14960,13332,16193,9821,53209,52269,11514,58473,45859
13359,14364,13776,15062,13356,16192,9823,53287,52330,11505,58571,45840
13379,14365,13783,14966,13339,16173,9827,53215,52335,11514,58500,45884
13384,14337,13797,14990,13352,16190,9835,53296,52321,11503,58507,45861
13381,14337,13786,14968,13352,16193,9838,53231,52317,11498,58549,45846
13384,14312,13763,14996,13345,16162,9842,53228,52300,11506,58463,45878
13364,14307,13773,15043,13366,16206,9809,53330,52278,11533,58556,45868
13367,14363,13757,15013,13368,16152,9893,53312,52372,11538,58492,45969
13366,14307,13766,14992,13346,16194,9860,53245,52339,11531,58463,45880
13376,14353,13793,14999,13357,16191,9856,53305,52331,11540,58543,45934
13410,14329,13791,15021,13371,16208,9855,53308,52371,11519,58586,45922
13376,14311,13805,15033,13353,16211,9853,53366,52276,11518,58557,45918
13363,14340,13802,14997,13353,16200,9821,53267,52303,11514,58541,45846
13376,14323,13798,15018,13349,16187,9823,53295,52270,11544,58514,45903
13357,14345,13780,15022,13356,16193,9844,53302,52337,11520,58554,45864
13393,14378,13793,15043,13359,16192,9816,53352,52372,11538,58553,45892
13368,14349,13776,15025,13385,16190,9874,53326,52363,11531,58577,45894
13371,14291,13802,15055,13342,16187,9802,53341,52235,11503,58534,45853
13382,14355,13782,15002,13354,16156,9819,53282,52319,11517,58525,45875
13368,14327,13805,15029,13370,16228,9839,53332,52343,11526,58588,45909
13373,14332,13796,14995,13370,16162,9852,53285,52312,11516,58556,45884
13388,14360,13789,15013,13371,16233,9868,53367,52413,11537,58612,45951
13393,14360,13791,15006,13344,16217,9861,53311,52389,11542,58538,45941
13377,14336,13781,14985,13335,16184,9852,53249,52312,11514,58540,45860
13359,14326,13784,15052,13340,16171,9864,53307,52289,11522,58496,45923
13357,14323,13778,14965,13342,16172,9834,53216,52267,11513,58485,45826
13358,14321,13789,14986,13349,16200,9800,53271,52238,11495,58558,45761
13356,14309,13821,14954,13360,16190,9791,53246,52251,11495,58506,45777
13379,14352,13794,15019,13356,16178,9806,53289,52334,11524,58530,45848
13358,14336,13804,14977,13332,16182,9836,53231,52330,11490,58516,45819
13376,14329,13819,14942,13339,16176,9822,53221,52299,11495,58531,45804
13364,14304,13788,15010,13344,16165,9869,53273,52326,11518,58471,45928
13381,14338,13801,14952,13335,16185,9877,53246,52368,11507,58482,45895
13374,14359,13794,14990,13366,16179,9864,53281,52398,11507,58558,45883
13379,14314,13794,14996,13352,16180,9864,53284,52348,11504,58507,45877
13368,14312,13804,15005,13345,16185,9829,53285,52297,11515,58510,45853
13386,14329,13798,14965,13329,16203,9824,53257,52276,11491,58496,45789
13347,14330,13810,15076,13328,16211,9830,53411,52259,11509,58548,45803
13382,14335,13829,14992,13354,16186,9830,53305,52332,11500,58557,45804
13362,14343,13814,15018,13342,16213,9848,53352,52328,11499,58563,45849
13379,14323,13824,14997,13340,16206,9840,53305,52329,11494,58557,45784
