taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13737,14724,13989,15389,13638,16477,10334,54472,53736,11997,59618,47355
13729,14719,13970,15362,13627,16442,10323,54388,53755,11940,59534,47273
13732,14751,13975,15327,13633,16467,10320,54380,53767,11907,59575,47243
13746,14721,13960,15394,13612,16454,10274,54386,53703,11883,59616,47191
13782,14717,13988,15400,13618,16444,10265,54448,53708,11822,59581,47184
13727,14680,13965,15364,13624,16457,10307,54367,53634,11825,59551,47150
13717,14735,13974,15373,13667,16428,10249,54439,53659,11828,59603,47125
13724,14719,13992,15378,13626,16468,10279,54471,53697,11820,59573,47162
13729,14708,13993,15366,13627,16477,10352,54444,53712,11836,59602,47275
13722,14755,13975,15347,13634,16453,10278,54380,53738,11805,59584,47152
13718,14740,13961,15327,13624,16414,10259,54325,53688,11815,59522,47102
13689,14735,13955,15340,13630,16439,10277,54319,53651,11814,59522,47125
13639,14713,13931,15324,13578,16409,10282,54270,53531,11748,59346,47057
13655,14705,13940,15329,13583,16402,10247,54281,53534,11746,59398,46969
13641,14702,13956,15293,13590,16421,10276,54277,53560,11764,59416,47013
13622,14673,13928,15257,13584,16405,10251,54149,53467,11746,59375,46940
13587,14691,13938,15346,13573,16389,10278,54263,53481,11762,59330,47028
13608,14644,13982,15319,13593,16361,10204,54236,53375,11729,59310,46900
13577,14691,13979,15341,13580,16393,10231,54310,53420,11741,59388,46873
13595,14661,13988,15299,13584,16377,10249,54244,53378,11719,59319,46881
13577,14644,14028,15357,13617,16431,10265,54388,53429,11733,59423,46943
13616,14704,14050,15328,13599,16392,10281,54340,53525,11775,59417,46960
13613,14692,14041,15276,13622,16441,10270,54263,53574,11765,59487,46890
13604,14715,14016,15300,13576,16382,10257,54254,53461,11749,59372,46891
13556,14681,14036,15332,13569,16446,10242,54367,53414,11754,59368,46870
13607,14631,14032,15287,13560,16407,10278,54274,53441,11761,59357,46931
13625,14698,14030,15294,13557,16380,10275,54266,53466,11732,59329,46910
13574,14683,13993,15329,13610,16371,10262,54274,53435,11746,59344,46900
13587,14684,13992,15285,13576,16360,10253,54183,53435,11753,59308,46852
13591,14667,14003,15330,13581,16363,10284,54265,53393,11739,59334,46896
13581,14635,14022,15329,13565,16427,10299,54312,53374,11758,59358,46942
13578,14655,14001,15262,13568,16397,10279,54204,53372,11719,59279,46832
13603,14673,13999,15332,13574,16416,10253,54293,53431,11739,59370,46899
13624,14661,14013,15298,13598,16413,10249,54284,53473,11727,59396,46836
13624,14698,13974,15310,13572,16425,10272,54253,53503,11734,59393,46905
13569,14659,13987,15230,13602,16402,10270,54207,53419,11747,59352,46865
13621,14651,13964,15318,13576,16396,10295,54259,53418,11731,59366,46925
13593,14689,13934,15306,13577,16402,10208,54177,53412,11730,59341,46838
13589,14694,13955,15343,13570,16378,10326,54244,53478,11745,59333,46989
13589,14700,13950,15315,13584,16387,10252,54218,53466,11755,59359,46909
13600,14700,13954,15346,13579,16469,10287,54306,53488,11743,59432,46989
13593,14650,13978,15337,13589,16414,10274,54305,53403,11722,59393,46918
13572,14599,13950,15292,13579,16389,10254,54185,53295,11721,59318,46865
13574,14632,13953,15278,13562,16397,10274,54190,53337,11725,59301,46870
13622,14689,13961,15340,13597,16408,10272,54245,53480,11712,59447,46915
13575,14697,13960,15346,13590,16431,10325,54293,53455,11733,59423,46970
13601,14687,13965,15290,13577,16402,10348,54239,53478,11731,59360,46989
13573,14669,13978,15342,13553,16449,10362,54328,53412,11734,59363,47069
13613,14630,13969,15354,13586,16406,10358,54333,53412,11781,59422,47068
13590,14666,13968,15313,13578,16462,10342,54302,53427,11747,59398,47037
13593,14667,13977,15365,13573,16396,10388,54370,53427,11764,59356,47097
13610,14680,13973,15381,13586,16389,10406,54367,53456,11753,59363,47154
13593,14689,13976,15350,13576,16401,10414,54342,53446,11788,59352,47188
13580,14665,13974,15336,13569,16388,10408,54325,53423,11764,59322,47095
13558,14687,13964,15339,13566,16454,10380,54383,53393,11795,59395,47126
13578,14681,13951,15350,13561,16405,10453,54326,53404,11750,59338,47137
13604,14690,13973,15362,13595,16407,10416,54364,53480,11785,59436,47205
13586,14703,13960,15331,13577,16393,10430,54333,53494,11789,59352,47157
13555,14696,13970,15375,13578,16460,10406,54391,53508,11802,59418,47165
13558,14650,13963,15345,13579,16404,10445,54353,53392,11769,59331,47187
13581,14664,13970,15349,13584,16401,10417,54316,53421,11772,59362,47143
13572,14657,13996,15330,13583,16429,10442,54350,53403,11782,59363,47181
13605,14705,13969,15356,13605,16397,10452,54340,53565,11774,59381,47232
13584,14701,13979,15363,13587,16408,10457,54409,53504,11766,59407,47173
13601,14666,13969,15342,13581,16438,10403,54418,53432,11788,59394,47210
13601,14665,14004,15343,13590,16404,10415,54401,53427,11782,59421,47179
13577,14640,13994,15348,13576,16378,10411,54372,53361,11769,59338,47139
13604,14694,13972,15311,13584,16416,10413,54319,53466,11776,59386,47141
13567,14705,13977,15352,13570,16401,10442,54334,53443,11751,59337,47217
13597,14655,13965,15299,13586,16427,10409,54287,53444,11749,59328,47158
13605,14673,13958,15336,13596,16401,10407,54287,53487,11772,59382,47161
13600,14677,13987,15317,13589,16407,10387,54327,53442,11731,59392,47096
13563,14664,13979,15350,13580,16440,10416,54370,53420,11767,59400,47176
13599,14635,13948,15335,13578,16413,10356,54293,53388,11750,59383,47053
13577,14694,13967,15345,13589,16394,10348,54325,53418,11759,59402,47070
13590,14680,13971,15346,13578,16405,10409,54346,53470,11784,59416,47133
13604,14675,13968,15374,13580,16393,10348,54354,53454,11757,59409,47062
13600,14627,13948,15316,13583,16397,10378,54260,53381,11779,59312,47141
13596,14661,13928,15338,13579,16443,10384,54266,53451,11791,59426,47096
13575,14636,13944,15325,13582,16387,10371,54270,53373,11766,59298,47074
13621,14662,13944,15336,13581,16466,10387,54333,53465,11813,59472,47158
13546,14678,13940,15349,13577,16371,10304,54264,53337,11761,59315,47011
13571,14703,13959,15349,13580,16446,10331,54291,53477,11770,59444,47069
13576,14629,13937,15338,13558,16425,10346,54305,53349,11789,59361,47057
13563,14657,13945,15341,13586,16422,10329,54265,53396,11794,59363,47029
13557,14679,13938,15312,13570,16407,10320,54236,53387,11761,59338,47002
13583,14632,13951,15361,13567,16424,10328,54345,53368,11788,59402,47044
13591,14662,13964,15370,13562,16405,10339,54340,53400,11762,59341,47076
13602,14658,13973,15367,13594,16464,10395,54431,53448,11801,59459,47157
13581,14643,13952,15348,13575,16408,10341,54311,53371,11771,59376,47045
13545,14653,13955,15323,13572,16447,10361,54341,53377,11791,59330,47096
13566,14709,13933,15317,13580,16412,10330,54231,53442,11790,59325,47084
13588,14682,13952,15359,13559,16439,10372,54355,53446,11807,59379,47139
13570,14634,13967,15353,13578,16400,10352,54359,53378,11764,59309,47087
13600,14663,13975,15399,13568,16427,10342,54424,53434,11763,59410,47079
13562,14671,13962,15327,13573,16409,10332,54338,53366,11759,59353,47003
13555,14625,13954,15376,13578,16437,10337,54402,53345,11794,59391,47050
13584,14678,13957,15354,13574,16391,10341,54335,53425,11782,59306,47096
13590,14694,13955,15395,13588,16452,10363,54415,53452,11780,59400,47128
13592,14681,13958,15358,13587,16403,10317,54356,53457,11773,59377,47036
13586,14633,13962,15359,13570,16428,10325,54355,53415,11761,59366,47047
13564,14663,13947,15318,13558,16413,10302,54267,53392,11739,59313,46957
13596,14675,13975,15331,13569,16411,10324,54354,53417,11754,59366,47008
13591,14669,13982,15376,13560,16402,10253,54327,53372,11749,59353,46967
13606,14651,13994,15329,13559,16431,10308,54340,53446,11751,59372,47014
13590,14703,14001,15329,13577,16410,10276,54285,53491,11744,59361,46978
13566,14668,13974,15363,13571,16439,10337,54336,53432,11740,59354,47046
13588,14666,13973,15290,13570,16363,10260,54198,53382,11717,59322,46895
13592,14639,14010,15318,13566,16433,10293,54335,53426,11739,59404,46976
13571,14624,14003,15293,13569,16420,10259,54231,53340,11719,59329,46892
13566,14700,13970,15328,13583,16408,10262,54248,53445,11733,59342,46926
13595,14653,13997,15295,13575,16366,10310,54233,53444,11730,59295,46956
13605,14689,14028,15291,13580,16400,10246,54268,53460,11735,59366,46924
13600,14632,13971,15272,13549,16358,10229,54163,53332,11693,59277,46811
13555,14619,13983,15255,13563,16356,10203,54132,53257,11693,59217,46771
13522,14604,13977,15283,13518,16370,10192,54164,53184,11703,59196,46786
13585,14673,14016,15312,13588,16390,10259,54289,53417,11718,59357,46906
13562,14670,14000,15286,13552,16350,10227,54193,53367,11711,59235,46869
13587,14687,14030,15324,13568,16383,10254,54309,53430,11723,59330,46861
13585,14682,13987,15284,13565,16401,10251,54208,53396,11718,59349,46874
13579,14649,14005,15308,13584,16427,10207,54240,53415,11713,59356,46868
13600,14656,13991,15361,13567,16393,10271,54309,53407,11745,59352,46946
13571,14648,14001,15354,13555,16414,10270,54285,53407,11728,59350,46936
13561,14708,13982,15282,13595,16363,10254,54154,53442,11702,59322,46864
13565,14680,14005,15337,13578,16380,10265,54295,53403,11715,59322,46897
13570,14611,13962,15314,13557,16363,10212,54201,53259,11700,59245,46793
13568,14683,13974,15326,13560,16370,10253,54229,53396,11712,59310,46882
13614,14617,13963,15312,13543,16381,10226,54207,53331,11704,59306,46851
13588,14705,13958,15295,13546,16441,10283,54227,53481,11708,59346,46931
13597,14628,13971,15277,13564,16431,10237,54193,53380,11724,59355,46900
13569,14699,13966,15252,13551,16426,10252,54172,53410,11702,59375,46862
13572,14659,13955,15329,13565,16399,10218,54203,53344,11689,59357,46824
13591,14642,13975,15305,13587,16402,10243,54208,53416,11728,59372,46932
13581,14666,13957,15300,13553,16400,10281,54224,53405,11714,59295,46943
13566,14666,13951,15335,13555,16401,10235,54233,53365,11714,59337,46862
13600,14684,13948,15342,13595,16381,10263,54234,53479,11748,59373,46967
13621,14697,13954,15341,13571,16411,10275,54255,53494,11749,59407,46994
13574,14638,13949,15330,13571,16393,10245,54251,53331,11719,59307,46892
13605,14646,13969,15299,13573,16389,10269,54237,53370,11739,59388,46890
13593,14626,13943,15286,13592,16420,10249,54206,53374,11730,59356,46900
13619,14678,13956,15331,13567,16404,10237,54242,53483,11736,59390,46902
13598,14666,13967,15328,13577,16412,10244,54255,53436,11739,59389,46941
13604,14678,13974,15319,13584,16434,10285,54281,53482,11731,59439,46976
13605,14642,13956,15314,13555,16404,10288,54222,53425,11716,59325,46920
13618,14679,13945,15324,13570,16421,10288,54223,53486,11744,59414,47008
13575,14678,13946,15300,13543,16406,10279,54193,53363,11711,59310,46895
13622,14647,13954,15366,13599,16439,10279,54339,53442,11732,59454,46970
13652,14666,13967,15289,13570,16417,10322,54242,53496,11745,59360,47056
13632,14678,13947,15321,13588,16427,10303,54259,53522,11765,59429,47025
13596,14649,13930,15293,13572,16382,10290,54213,53397,11765,59300,46987
13615,14675,13943,15323,13569,16420,10306,54267,53483,11765,59399,47022
13612,14665,13961,15339,13593,16421,10310,54328,53471,11768,59452,47027
13632,14691,13957,15331,13591,16413,10325,54322,53516,11772,59420,47075
